N,bst_insert_sorted_ns,bst_insert_random_ns,avl_insert_sorted_ns,avl_insert_random_ns,bst_search_sorted_ns,bst_search_random_ns,avl_search_sorted_ns,avl_search_random_ns
100,12011084,96542,255084,132709,366875,74625,52167,49583
90,10303541,87459,261958,138625,308292,75667,45541,43166
80,11353000,55583,234208,129167,262250,53750,41417,39583
70,13923875,92125,235083,96125,191750,46750,33000,31833
60,10652875,99958,176500,82209,140083,38916,27250,26625
50,11011458,80750,187625,89667,100791,23875,19500,18042
40,10455000,95500,150459,56500,78083,21209,15417,28334
30,9971041,163584,154875,79583,126041,40500,30500,22958
20,10124708,56250,238958,54875,114708,41375,31959,41125
10,9556500,19291,76958,22000,34042,18750,22166,19292
